iter	RMSE
285	13435.72427
286	13405.71746
287	13381.26692
288	13348.29066
289	13314.23823
290	13285.28425
291	13281.46951
292	13255.44029
293	13229.77798
294	13205.55138
295	13176.96069
296	13147.34433
297	13121.61953
298	13101.42885
299	13069.89129
300	13033.17077
301	13001.88939
302	12980.08479
303	12975.82487
304	12940.55841
305	12923.08173
306	12918.97591
307	12904.2721
308	12869.26697
309	12847.29358
310	12809.46172
311	12782.92022
312	12754.52565
313	12725.72333
314	12698.85889
315	12662.99066
316	12644.28252
317	12618.76855
318	12584.80555
319	12558.30093
320	12528.09328
321	12495.2332
322	12468.87398
323	12448.7503
324	12423.5776
325	12392.53533
326	12361.77775
327	12333.91645
328	12308.53055
329	12284.5187
330	12262.50269
331	12236.75095
332	12211.44922
333	12190.11973
334	12169.99277
335	12143.50113
336	12115.88298
337	12092.41811
338	12072.50879
339	12043.9269
340	12020.27532
341	12009.94934
342	11976.34329
343	11942.96431
344	11916.87142
345	11888.68949
346	11859.06588
347	11840.36991
348	11808.13751
349	11786.49798
350	11760.34201
351	11735.24447
352	11710.49773
353	11688.65912
354	11671.70444
355	11647.53764
356	11622.76954
357	11600.02043
358	11578.03115
359	11548.82099
360	11525.93691
361	11505.49168
362	11483.0862
363	11455.75588
364	11436.12066
365	11411.76106
366	11391.43841
367	11368.85213
368	11343.43462
369	11319.22412
370	11300.90578
371	11281.07725
372	11262.93879
373	11242.91542
374	11211.14087
375	11189.51796
376	11169.67471
377	11150.22861
378	11127.97154
379	11109.90048
380	11082.77915
381	11066.56343
382	11047.09661
383	11028.3956
384	11015.63671
385	10993.16995
386	10975.30156
387	10959.43504
388	10937.16475
389	10918.87044
390	10897.95306
391	10870.27953
392	10851.12283
393	10836.14789
394	10808.17185
395	10786.64923
396	10772.78822
397	10749.04459
398	10727.51254
399	10695.44842
400	10678.50436
401	10667.98743
402	10651.24852
403	10620.55878
404	10605.89341
405	10590.10436
406	10587.06073
407	10570.80624
408	10551.82277
409	10527.10455
410	10505.57735
411	10482.36105
412	10469.0176
413	10448.50707
414	10421.79391
415	10403.57346
416	10391.42983
417	10388.60141
418	10364.35708
419	10350.66197
420	10328.87153
421	10313.66737
422	10301.78003
423	10282.24623
424	10260.28941
425	10244.13903
426	10225.53183
427	10211.01599
428	10197.53187
429	10174.1808
430	10153.27436
431	10136.31641
432	10117.12417
433	10102.93744
434	10080.01378
435	10063.45683
436	10044.19337
437	10030.82182
438	10015.53507
439	9997.437964
440	9972.808636
441	9958.187734
442	9937.1123
443	9918.595629
444	9905.094941
445	9890.385397
446	9875.311161
447	9855.827001
448	9837.66525
449	9825.29972
450	9810.088132
451	9787.942797
452	9767.724712
453	9753.825744
454	9732.908656
455	9705.165129
456	9696.893926
457	9676.876696
458	9670.359781
459	9652.408123
460	9639.717302
461	9622.502655
462	9611.822118
463	9597.250317
464	9578.784338
465	9565.765597
466	9550.93096
467	9532.902243
468	9517.29339
469	9500.145008
470	9472.539887
471	9451.616742
472	9440.971592
473	9413.94817
474	9398.379529
475	9378.954182
476	9371.539537
477	9350.886526
478	9335.394994
479	9321.518138
480	9308.095608
481	9298.726124
482	9276.85931
483	9260.834246
484	9249.234968
485	9234.896619
486	9216.369468
487	9195.08248
488	9177.021307
489	9160.766824
490	9138.954136
491	9131.766904
492	9115.831554
493	9103.313242
494	9087.502476
495	9078.532275
496	9067.39149
497	9055.312196
498	9049.066164
499	9028.032319
500	9019.309315
501	9009.046615
502	8995.832274
503	8974.347303
504	8961.61776
505	8948.672231
506	8932.618074
507	8917.30105
508	8905.771748
509	8894.081856
510	8883.466745
511	8866.966095
512	8857.472742
513	8842.876405
514	8833.117448
515	8820.704291
516	8810.17654
517	8795.602093
518	8780.189467
519	8762.338645
520	8752.48457
521	8738.559712
522	8723.245846
523	8704.272677
524	8688.513398
525	8678.918576
526	8667.637044
527	8654.825206
528	8636.646319
529	8624.10885
530	8611.663314
531	8601.905945
532	8587.819646
533	8574.520911
534	8556.686938
535	8538.225372
536	8528.468625
537	8515.827944
538	8504.249493
539	8488.680991
540	8484.397065
